0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
30,35,0,70,60,0,32,10,90,0,60,50,70,46,0,30,30,10,35,50,40,50,50,58,75,0,60
60,55,75,70,90,30,100,35,63,0,70,75,85,78,70,20,20,0,0,70,50,60,55,63,80,10,60
30,50,70,70,80,50,11,40,25,70,80,65,75,10,70,50,10,40,75,60,65,70,75,75,74,10,60
80,70,80,70,70,50,85,70,30,80,60,90,85,60,75,50,50,100,80,80,55,50,70,85,92,80,60
30,50,65,80,80,50,100,40,99,20,60,45,75,83,55,40,10,40,60,60,65,80,75,70,72,20,60
70,65,75,60,80,25,11,25,92,10,90,80,80,64,70,50,60,70,50,75,60,60,70,73,80,70,60
70,50,60,90,80,40,91,70,11,80,70,80,75,92,80,80,50,70,55,65,70,100,60,90,95,80,70
65,75,85,80,90,65,66,75,52,85,70,80,80,75,80,90,80,70,60,75,65,70,60,95,90,40,75
30,60,50,70,75,0,77,15,42,0,30,40,75,10,70,60,10,10,50,60,60,50,75,60,70,20,60
40,65,70,80,80,70,3,25,70,10,0,65,80,82,65,40,50,20,80,70,65,60,70,65,70,30,60
50,40,55,80,80,65,0,60,23,75,40,55,75,75,75,80,80,10,40,60,70,50,65,80,72,60,70
60,45,75,70,80,60,40,55,6,85,70,70,75,82,75,60,60,70,55,70,60,50,60,77,82,10,70
80,55,40,80,80,40,0,25,66,0,20,40,70,65,70,50,60,20,60,55,65,50,50,67,72,0,60
30,70,65,80,70,70,82,15,60,0,40,75,85,87,80,60,80,80,65,70,60,70,55,75,85,70,60
40,50,70,80,80,60,29,40,71,90,80,80,75,75,70,80,35,90,70,65,80,80,80,92,85,10,75
60,85,100,80,80,90,22,65,84,100,80,70,85,100,100,90,100,80,55,70,100,70,100,97,85,50,90
M,M,empty,M,M,M,empty,M,F,F,M,M,M,M,F,F,M,F,M,F,M,M,M,M,M,F,F
23,23,empty,23,22,22,23,23,22,23,24,24,23,27,26,29,28,23,24,24,27,24,24,30,22,26,30
BIA,BIA,empty,BIA,BIA,MechE,Finance,BIA,IS,BIA,BIA,MBA,BIA,BIA,BIA,BIA,BIA,EE,BIA,BIA,BIA,CS,IS,BIA,CS,BIA,BIA
